,מַתְנִיתָא
קׇדְשֵׁי,קָדַשׁ,קֹדֶשׁ
קָדָשִׁים,קָדֵשׁ,קֹדֶשׁ
שֶׁשְּׁחָטָן,שָׁחַט I,שָׁחַט II
בַּדָּרוֹם,דָּרוֹם
מוֹעֲלִין,מָעַל
בָּהֶן,ב,ב ²
שְׁחָטָן,שָׁחַט I,שָׁחַט II
בַּדָּרוֹם,דָּרוֹם
וְקִיבֵּל,קָבַל II
דָּמָן,דָּם
בַּצָּפוֹן,צָפוֹן I
בַּצָּפוֹן,צָפוֹן I
וְקִיבֵּל,קָבַל II
דָּמָן,דָּם
בַּדָּרוֹם,דָּרוֹם
שָׁחַט,שָׂחַט
בַּיּוֹם,יוֹם ²
וְזָרַק,זָרַק
בַּלַּיְלָה,לַיְלָה
בַּלַּיְלָה,לַיְלָה
וְזָרַק,זָרַק
בַּיּוֹם,יוֹם ²
אוֹ,אוֹ I
שֶׁשְּׁחָטָן,שָׁחַט I,שָׁחַט II
חוּץ,עִיקּוּר,נִיקּוּר
לִזְמַנּוֹ,זְמַן II,זְמַן I
וְחוּץ,חוּץ I
לִמְקוֹמוֹ,מָקוֹם
מוֹעֲלִין,מָעַל
בָּהֶן,ב,ב ²
כְּלָל,כְּלָל
אָמַר,אֵמֶר,אִמַּר
רַבִּי,רַבִּי,רַב II,רַבַסָּא
יְהוֹשֻׁעַ,יְהוֹשׁוּעַ
כׇּל,כֹּל
שֶׁהָיָה,יֵשׁ
לָהּ,ל
שְׁעַת,שָׁעָה
הֶיתֵּר,יָתֵר,הֶתֵּר,הֶיתֵּר
לַכֹּהֲנִים,כֹּהֵן
אֵין,אֵין
מוֹעֲלִין,מָעַל
בָּהּ,ב,ב ²
וְכׇל,כֹּל
שֶׁלֹּא,לֹא
הָיָה,יֵשׁ
לָהּ,ל
שְׁעַת,שָׁעָה
הֶיתֵּר,יָתֵר,הֶתֵּר,הֶיתֵּר
לַכֹּהֲנִים,כֹּהֵן
מוֹעֲלִין,מָעַל
בָּהּ,ב,ב ²
אֵיזוֹ,אֵיזִי,אֵיזוּ
הִיא,הֵן,הֵן ²
שֶׁהָיָה,יֵשׁ
לָהּ,ל
שְׁעַת,שָׁעָה
הֶיתֵּר,יָתֵר,הֶתֵּר,הֶיתֵּר
לַכֹּהֲנִים,כֹּהֵן
שֶׁלָּנָה,לוּן II,לוּן
וְשֶׁנִּטְמְאָה,טָמֵא I
וְשֶׁיָּצְאָה,יָצָא
וְאֵיזוֹ,אֵיזִי,אֵיזוּ
הִיא,הֵן,הֵן ²
שֶׁלֹּא,לֹא
הָיָה,יֵשׁ
לָהּ,ל
שְׁעַת,שָׁעָה
הֶיתֵּר,יָתֵר,הֶתֵּר,הֶיתֵּר
לַכֹּהֲנִים,כֹּהֵן
שֶׁנִּשְׁחֲטָה,שָׂחַט
חוּץ,עִיקּוּר,נִיקּוּר
לִזְמַנָּהּ,זְמַן II,זְמַן I
חוּץ,עִיקּוּר,נִיקּוּר
לִמְקוֹמָהּ,מָקוֹם
וְשֶׁקִּיבְּלוּ,קָבַל I
פְּסוּלִין,פִּסּוּל,פְּסוּל,פָּסוּל
וְזָרְקוּ,זָרַק
אֶת,אֵת
דָּמָה,דָּמָה ²
גְּמָ׳,גְּמָרָא
קָתָנֵי,תני
קׇדְשֵׁי,קָדַשׁ,קֹדֶשׁ
קָדָשִׁים,קָדֵשׁ,קֹדֶשׁ
שֶׁשְּׁחָטָן,שָׁחַט I,שָׁחַט II
בַּדָּרוֹם,דָּרוֹם
מוֹעֲלִין,מָעַל
בָּהֶן,ב,ב ²
פְּשִׁיטָא,פְּשַׁט
מִשּׁוּם,שׁוּם II
דִּשְׁחִיטָתָן
בַּדָּרוֹם,דָּרוֹם
אַפֵּיקִינּוּן,פָּקֵי
מִידֵי,דַּיָּין ²
מְעִילָה,עִלָּה,מְעִילָה
אִיצְטְרִיךְ,צְרַךְ
סָלְקָא,סְלֵק
דַּעְתָּךְ,דַּעְתָּא
אָמֵינָא,אֲמַר
הוֹאִיל,יָאַל
וְאָמַר,אֵמֶר,אִמַּר
עוּלָּא,עֲלַל II,עֲלַל I
אָמַר,אֵמֶר,אִמַּר
רַבִּי,רַבִּי,רַב II,רַבַסָּא
יוֹחָנָן,יוֹחָנָן
קָדָשִׁים,קָדֵשׁ,קֹדֶשׁ
שֶׁמֵּתוּ,מוֹת
יָצְאוּ,יָצָא
מִידֵּי,מִידֵי
מְעִילָה,עִלָּה,מְעִילָה
דְּבַר,דְּבַר
תּוֹרָה,תּוֹרָה
הָכִי,התך
נָמֵי,נַמִּי
קׇדְשֵׁי,קָדַשׁ,קֹדֶשׁ
קָדָשִׁים,קָדֵשׁ,קֹדֶשׁ
לְגַבֵּי,גַּב ²
דָרוֹם,דָּרוֹם
כְּמָה,כְּמָה,כְּמָא
דְּחַנְקִינּוּן,חֲנַק
דָּמֵי,דמי
קָא,קָא
מַשְׁמַע,שְׁמַע I
לַן,ל
קָדָשִׁים,קָדֵשׁ,קֹדֶשׁ
שֶׁמֵּתוּ,מוֹת
לָא,לָא I
חֲזוּ,חזי
כְּלָל,כְּלָל
אֲבָל,אֲבָל
דָּרוֹם,דָּרוֹם
נְהִי,נְהִי II
דְּאֵינוֹ,אינו
רָאוּי,יָאוּ
לְקׇדְשֵׁי,קֹדֶשׁ
קָדָשִׁים,קָדֵשׁ,קֹדֶשׁ
אֲבָל,אֲבָל
רָאוּי,יָאוּ
הוּא,הוּא ²
לְקָדָשִׁים,קָדֵשׁ,קֹדֶשׁ
קַלִּים,קַל I
לְמָה,מ
לִי,ל
לְמִיתְנֵי,תני
כׇּל,כָּל
הָנֵי,הני
צְרִיכִי,צְרִיךְ ²
אִי,אִם
תְּנָא,תני
שְׁחָטָן,שָׁחַט I,שָׁחַט II
בַּדָּרוֹם,דָּרוֹם
וְקִיבֵּל,קְבַל ²,קְבַל III,קְבַל
דָּמָן,דָּם
בַּצָּפוֹן,צָפוֹן I
הָכָא,התך
דְּאִית,אִית
בְּהוּ,בְּהוֹ,בָּהוּ,בָּהִיר
מְעִילָה,עִלָּה,מְעִילָה
מִשּׁוּם,שׁוּם II
דְּקַבָּלָה,קְבַל ²,קְבַל III,קְבַל
בַּצָּפוֹן,צָפוֹן I
הוּא,הוּא ²
אֲבָל,אֲבָל
שְׁחָטָן,שָׁחַט I,שָׁחַט II
בַּצָּפוֹן,צָפוֹן I
וְקִיבֵּל,קְבַל ²,קְבַל III,קְבַל
דָּמָן,דָּם
בַּדָּרוֹם,דָּרוֹם
הוֹאִיל,יָאַל
וְקִיבֵּל,קְבַל ²,קְבַל III,קְבַל
בַּדָּרוֹם,דָּרוֹם
הוּא,הוּא ²
נָפֵיק,נָפֵק,נְפַק
מִידֵי,דַּיָּין ²
מְעִילָה,עִלָּה,מְעִילָה
וְאִי,אִם
תְּנָא,תני
הַאי,הָדֵין
הֲוָה,הוי
אָמֵינָא,אֲמַר
יְמָמָא,יְמָמָא
זְמַן,זְמַן II,זְמַן I
הַקְרָבָה,הַקְרָבָה
הוּא,הוּא ²
אֲבָל,אֲבָל
שְׁחָטָהּ,חטי
בַּלַּיְלָה,לַיְלָה
וְזָרַק,זָרַק
בַּיּוֹם,יוֹם ²
לַיְלָה,לַיְלָה
לָאו,לָא I
זְמַן,זְמַן II,זְמַן I
הַקְרָבָה,הַקְרָבָה
וְהַאי,הָדֵין
דְּשָׁחֵט
בַּלַּיְלָה,לַיְלָה
דְּנָפֵיק,נָפֵק,נְפַק
מִידֵי,דַּיָּין ²
מְעִילָה,עִלָּה,מְעִילָה
וְאִי,אִם
תְּנָא,תני
שְׁחָטָהּ,חטי
בַּלַּיְלָה,לַיְלָה
הֲוָה,הוי
אָמֵינָא,אֲמַר
הוֹאִיל,יָאַל
וְקִבֵּל,קָבַל II
דָּמָה,דָּמָה ²
בַּיּוֹם,יוֹם ²
אִית,אִית
בַּהּ,ב,ב ²
מְעִילָה,עִלָּה,מְעִילָה
אֲבָל,אֲבָל
שְׁחָטָן,שָׁחַט I,שָׁחַט II
בַּיּוֹם,יוֹם ²
וְזָרַק,זָרַק
דָּמָן,דָּם
בַּלַּיְלָה,לַיְלָה
הוֹאִיל,יָאַל
וְלָאו,לָא I
זְמַן,זְמַן II,זְמַן I
הַקְרָבָה,הַקְרָבָה
הוּא,הוּא ²
כְּמַאן,מַאן
דְּחַנְקִינּוּן,חֲנַק
דָּמֵי,דמי
וְלָא,לָא I
אִית,אִית
בְּהוּ,בְּהוֹ,בָּהוּ,בָּהִיר
מְעִילָה,עִלָּה,מְעִילָה
